"hgnc_symbol","ensembl_gene_id","ensembl_transcript_id","chromosome_name","start_position","end_position","strand","transcript_start","transcript_end","transcription_start_site","transcript_length","transcript_is_canonical","transcript_tsl","gene_biotype","transcript_biotype","ensembl_peptide_id"
"PTEN","ENSG00000284792","ENST00000710394","HG2334_PATCH",78462,183684,1,90743,183684,90743,4370,NA,"","protein_coding","protein_coding_CDS_not_defined",""
"PTEN","ENSG00000284792","ENST00000710395","HG2334_PATCH",78462,183684,1,141315,149279,141315,554,NA,"","protein_coding","retained_intron",""
"KAT6B","ENSG00000281813","ENST00000648720","HG2191_PATCH",29603,237300,1,29603,47648,29603,877,NA,"","protein_coding","protein_coding","ENSP00000496834"
"KAT6B","ENSG00000281813","ENST00000648605","HG2191_PATCH",29603,237300,1,29612,236960,29612,8209,NA,"","protein_coding","protein_coding","ENSP00000497718"
"KAT6B","ENSG00000281813","ENST00000648955","HG2191_PATCH",29603,237300,1,29931,226799,29931,2849,NA,"","protein_coding","protein_coding","ENSP00000496888"
"KAT6B","ENSG00000281813","ENST00000650575","HG2191_PATCH",29603,237300,1,30160,236913,30160,6847,NA,"","protein_coding","protein_coding","ENSP00000497453"
"KAT6B","ENSG00000281813","ENST00000647630","HG2191_PATCH",29603,237300,1,30168,236897,30168,7908,NA,"","protein_coding","protein_coding","ENSP00000497352"
"KAT6B","ENSG00000281813","ENST00000629233","HG2191_PATCH",29603,237300,1,30175,236969,30175,7027,NA,"","protein_coding","protein_coding","ENSP00000487219"
"KAT6B","ENSG00000281813","ENST00000648639","HG2191_PATCH",29603,237300,1,30203,233539,30203,3380,NA,"","protein_coding","protein_coding","ENSP00000496846"
"KAT6B","ENSG00000281813","ENST00000649483","HG2191_PATCH",29603,237300,1,30211,233597,30211,4016,NA,"","protein_coding","protein_coding","ENSP00000496884"
"KAT6B","ENSG00000281813","ENST00000647838","HG2191_PATCH",29603,237300,1,30234,226813,30234,2847,NA,"","protein_coding","protein_coding","ENSP00000497853"
"KAT6B","ENSG00000281813","ENST00000647965","HG2191_PATCH",29603,237300,1,30244,49658,30244,2490,NA,"","protein_coding","protein_coding","ENSP00000497625"
"KAT6B","ENSG00000281813","ENST00000649728","HG2191_PATCH",29603,237300,1,30261,47556,30261,533,NA,"","protein_coding","protein_coding","ENSP00000496864"
"KAT6B","ENSG00000281813","ENST00000648699","HG2191_PATCH",29603,237300,1,30290,226792,30290,1957,NA,"","protein_coding","protein_coding","ENSP00000497347"
"KAT6B","ENSG00000281813","ENST00000649574","HG2191_PATCH",29603,237300,1,31089,237300,31089,7625,NA,"","protein_coding","protein_coding","ENSP00000497416"
"KAT6B","ENSG00000281813","ENST00000647976","HG2191_PATCH",29603,237300,1,31095,47736,31095,582,NA,"","protein_coding","protein_coding","ENSP00000497223"
"KAT6B","ENSG00000281813","ENST00000628523","HG2191_PATCH",29603,237300,1,31125,236955,31125,7571,NA,"","protein_coding","protein_coding","ENSP00000487238"
"KAT6B","ENSG00000281813","ENST00000647786","HG2191_PATCH",29603,237300,1,31228,226739,31228,2701,NA,"","protein_coding","protein_coding","ENSP00000497163"
"KAT6B","ENSG00000281813","ENST00000628038","HG2191_PATCH",29603,237300,1,31238,235866,31238,5972,NA,"","protein_coding","protein_coding","ENSP00000485896"
"KAT6B","ENSG00000281813","ENST00000648040","HG2191_PATCH",29603,237300,1,31256,167260,31256,3770,NA,"","protein_coding","protein_coding","ENSP00000497712"
"KAT6B","ENSG00000281813","ENST00000650336","HG2191_PATCH",29603,237300,1,31272,51966,31272,4881,NA,"","protein_coding","protein_coding","ENSP00000497657"
"KAT6B","ENSG00000281813","ENST00000630001","HG2191_PATCH",29603,237300,1,31276,237300,31276,8314,1,"","protein_coding","protein_coding","ENSP00000486595"
"KAT6B","ENSG00000281813","ENST00000649924","HG2191_PATCH",29603,237300,1,31276,226774,31276,2715,NA,"","protein_coding","protein_coding","ENSP00000497172"
"KAT6B","ENSG00000281813","ENST00000648135","HG2191_PATCH",29603,237300,1,31276,233661,31276,4706,NA,"","protein_coding","protein_coding","ENSP00000497883"
"KAT6B","ENSG00000281813","ENST00000648502","HG2191_PATCH",29603,237300,1,31279,229647,31279,3278,NA,"","protein_coding","protein_coding","ENSP00000496945"
"KAT6B","ENSG00000281813","ENST00000648090","HG2191_PATCH",29603,237300,1,31304,194633,31304,4945,NA,"","protein_coding","retained_intron",""
"KAT6B","ENSG00000281813","ENST00000648004","HG2191_PATCH",29603,237300,1,31311,226643,31311,4572,NA,"","protein_coding","retained_intron",""
"KAT6B","ENSG00000281813","ENST00000648246","HG2191_PATCH",29603,237300,1,31557,226809,31557,2789,NA,"","protein_coding","protein_coding","ENSP00000497460"
"KAT6B","ENSG00000281813","ENST00000629879","HG2191_PATCH",29603,237300,1,31734,236961,31734,7297,NA,"","protein_coding","protein_coding","ENSP00000486731"
"KAT6B","ENSG00000281813","ENST00000627572","HG2191_PATCH",29603,237300,1,31813,47600,31813,529,NA,"","protein_coding","protein_coding","ENSP00000497129"
"KAT6B","ENSG00000281813","ENST00000648420","HG2191_PATCH",29603,237300,1,47296,113273,47296,1351,NA,"","protein_coding","nonsense_mediated_decay","ENSP00000497983"
"KAT6B","ENSG00000281813","ENST00000648972","HG2191_PATCH",29603,237300,1,47296,175426,47296,1815,NA,"","protein_coding","retained_intron",""
"KAT6B","ENSG00000281813","ENST00000649967","HG2191_PATCH",29603,237300,1,47296,225463,47296,1526,NA,"","protein_coding","nonsense_mediated_decay","ENSP00000497946"
"KAT6B","ENSG00000281813","ENST00000649533","HG2191_PATCH",29603,237300,1,47296,226663,47296,2139,NA,"","protein_coding","protein_coding","ENSP00000497107"
"KAT6B","ENSG00000281813","ENST00000647796","HG2191_PATCH",29603,237300,1,47296,226801,47296,3410,NA,"","protein_coding","nonsense_mediated_decay","ENSP00000497623"
"KAT6B","ENSG00000281813","ENST00000648723","HG2191_PATCH",29603,237300,1,47540,177210,47540,868,NA,"","protein_coding","protein_coding_CDS_not_defined",""
"KAT6B","ENSG00000281813","ENST00000648589","HG2191_PATCH",29603,237300,1,47559,174947,47559,1317,NA,"","protein_coding","retained_intron",""
"KAT6B","ENSG00000281813","ENST00000648845","HG2191_PATCH",29603,237300,1,180622,193772,180622,889,NA,"","protein_coding","nonsense_mediated_decay","ENSP00000497098"
"KAT6B","ENSG00000281813","ENST00000626984","HG2191_PATCH",29603,237300,1,181197,230840,181197,6532,NA,"","protein_coding","retained_intron",""
"KAT6B","ENSG00000281813","ENST00000649982","HG2191_PATCH",29603,237300,1,190005,226630,190005,4250,NA,"","protein_coding","retained_intron",""
"KAT6B","ENSG00000281813","ENST00000649873","HG2191_PATCH",29603,237300,1,222151,230803,222151,5020,NA,"","protein_coding","retained_intron",""
"KAT6B","ENSG00000281813","ENST00000650474","HG2191_PATCH",29603,237300,1,224179,228908,224179,4418,NA,"","protein_coding","retained_intron",""
"KAT6B","ENSG00000281813","ENST00000649342","HG2191_PATCH",29603,237300,1,224314,228814,224314,3594,NA,"","protein_coding","retained_intron",""
"COL3A1","ENSG00000291748","ENST00000708566","HG2494_PATCH",79333,117706,1,79333,117706,79333,5490,1,"","protein_coding","protein_coding","ENSP00000517283"
"COL3A1","ENSG00000291748","ENST00000708569","HG2494_PATCH",79333,117706,1,79333,117706,79333,5391,NA,"","protein_coding","protein_coding","ENSP00000517285"
"COL3A1","ENSG00000291748","ENST00000708568","HG2494_PATCH",79333,117706,1,79354,90172,79354,628,NA,"","protein_coding","retained_intron",""
"COL3A1","ENSG00000291748","ENST00000708570","HG2494_PATCH",79333,117706,1,108383,108877,108383,226,NA,"","protein_coding","retained_intron",""
"COL3A1","ENSG00000291748","ENST00000708571","HG2494_PATCH",79333,117706,1,113262,117008,113262,2054,NA,"","protein_coding","retained_intron",""
"APOB","ENSG00000291544","ENST00000707961","HG2231_HG2496_PATCH",52097,94741,-1,52097,94741,94741,14121,1,"","protein_coding","protein_coding","ENSP00000517053"
"APOB","ENSG00000291544","ENST00000707962","HG2231_HG2496_PATCH",52097,94741,-1,62021,93133,93133,5229,NA,"","protein_coding","nonsense_mediated_decay","ENSP00000517054"
"APOB","ENSG00000291544","ENST00000707963","HG2231_HG2496_PATCH",52097,94741,-1,63967,93133,93133,3580,NA,"","protein_coding","nonsense_mediated_decay","ENSP00000517055"
"APOB","ENSG00000291544","ENST00000707964","HG2231_HG2496_PATCH",52097,94741,-1,74838,94630,94630,3128,NA,"","protein_coding","protein_coding","ENSP00000517056"
"GATA4","ENSG00000285109","ENST00000647274","HG76_PATCH",1588081,1671110,-1,1588081,1643882,1643882,3414,NA,"","protein_coding","protein_coding","ENSP00000495511"
"GATA4","ENSG00000285109","ENST00000646696","HG76_PATCH",1588081,1671110,-1,1588083,1671110,1671110,2614,NA,"","protein_coding","protein_coding","ENSP00000494491"
"GATA4","ENSG00000285109","ENST00000647218","HG76_PATCH",1588081,1671110,-1,1589318,1591590,1591590,1064,NA,"","protein_coding","retained_intron",""
"GATA4","ENSG00000285109","ENST00000643249","HG76_PATCH",1588081,1671110,-1,1589561,1639853,1639853,1459,1,"","protein_coding","protein_coding","ENSP00000493647"
"GATA4","ENSG00000285109","ENST00000642612","HG76_PATCH",1588081,1671110,-1,1591001,1643935,1643935,686,NA,"","protein_coding","protein_coding","ENSP00000496386"
"GATA4","ENSG00000285109","ENST00000646425","HG76_PATCH",1588081,1671110,-1,1639424,1643864,1643864,1010,NA,"","protein_coding","protein_coding","ENSP00000494090"
"GATA4","ENSG00000285109","ENST00000644275","HG76_PATCH",1588081,1671110,-1,1639705,1655447,1655447,832,NA,"","protein_coding","protein_coding","ENSP00000496575"
"GATA4","ENSG00000285109","ENST00000642753","HG76_PATCH",1588081,1671110,-1,1639726,1671109,1671109,877,NA,"","protein_coding","protein_coding","ENSP00000494427"
"KCNQ1","ENSG00000282076","ENST00000632981","HSCHR11_1_CTG7",1031,81275,1,1031,80403,1031,752,NA,"tsl1","protein_coding","protein_coding","ENSP00000488783"
"KCNQ1","ENSG00000282076","ENST00000632153","HSCHR11_1_CTG7",1031,81275,1,1031,81275,1031,1624,1,"tsl1","protein_coding","protein_coding","ENSP00000488381"
"KCNQ1","ENSG00000282076","ENST00000633370","HSCHR11_1_CTG7",1031,81275,1,9762,80676,9762,1046,NA,"tsl3","protein_coding","protein_coding_CDS_not_defined",""
"RB1","ENSG00000139687","ENST00000646097","13",48303710,48599436,1,48303710,48333216,48303710,667,NA,"","protein_coding","protein_coding","ENSP00000496556"
"RB1","ENSG00000139687","ENST00000650461","13",48303710,48599436,1,48303710,48481728,48303710,4666,NA,"","protein_coding","protein_coding","ENSP00000497193"
"RB1","ENSG00000139687","ENST00000525036","13",48303710,48599436,1,48303751,48360737,48303751,1490,NA,"tsl3","protein_coding","retained_intron",""
"RB1","ENSG00000139687","ENST00000267163","13",48303710,48599436,1,48303751,48481890,48303751,4768,1,"tsl1 (assigned to previous version 4)","protein_coding","protein_coding","ENSP00000267163"
"RB1","ENSG00000139687","ENST00000713856","13",48303710,48599436,1,48303710,48481890,48303710,4616,NA,"","protein_coding","protein_coding","ENSP00000519161"
"RB1","ENSG00000139687","ENST00000467505","13",48303710,48599436,1,48303775,48481890,48303775,4274,NA,"tsl1 (assigned to previous version 5)","protein_coding","nonsense_mediated_decay","ENSP00000434702"
"RB1","ENSG00000139687","ENST00000713857","13",48303710,48599436,1,48303710,48481890,48303710,4656,NA,"","protein_coding","protein_coding","ENSP00000519162"
"RB1","ENSG00000139687","ENST00000713858","13",48303710,48599436,1,48303710,48481890,48303710,4704,NA,"","protein_coding","protein_coding","ENSP00000519163"
"RB1","ENSG00000139687","ENST00000713859","13",48303710,48599436,1,48303875,48481883,48303875,4494,NA,"","protein_coding","nonsense_mediated_decay","ENSP00000519164"
"RB1","ENSG00000139687","ENST00000643064","13",48303710,48599436,1,48381250,48599436,48381250,329,NA,"","protein_coding","protein_coding","ENSP00000496005"
"RB1","ENSG00000139687","ENST00000480491","13",48303710,48599436,1,48444828,48456307,48444828,617,NA,"tsl5","protein_coding","protein_coding_CDS_not_defined",""
"RB1","ENSG00000139687","ENST00000531171","13",48303710,48599436,1,48476400,48480339,48476400,658,NA,"tsl4","protein_coding","protein_coding_CDS_not_defined",""
"RB1","ENSG00000139687","ENST00000484879","13",48303710,48599436,1,48476447,48480647,48476447,1097,NA,"tsl1","protein_coding","retained_intron",""
"RB1","ENSG00000139687","ENST00000859510","13",48303710,48599436,1,48303710,48481890,48303710,4692,NA,"","protein_coding","protein_coding","ENSP00000529569"
"RB1","ENSG00000139687","ENST00000859511","13",48303710,48599436,1,48303710,48481890,48303710,4797,NA,"","protein_coding","protein_coding","ENSP00000529570"
"RB1","ENSG00000139687","ENST00000924352","13",48303710,48599436,1,48303710,48481890,48303710,4932,NA,"","protein_coding","protein_coding","ENSP00000594411"
"RB1","ENSG00000139687","ENST00000941076","13",48303710,48599436,1,48303710,48481890,48303710,4791,NA,"","protein_coding","protein_coding","ENSP00000611135"
"RB1","ENSG00000139687","ENST00001107552","13",48303710,48599436,1,48303710,48379958,48303710,1900,NA,"","protein_coding","protein_coding","ENSP00000777357"
"RB1","ENSG00000139687","ENST00001116119","13",48303710,48599436,1,48303866,48383170,48303866,3326,NA,"","protein_coding","nonsense_mediated_decay","ENSP00000785924"
"RB1","ENSG00000139687","ENST00001116120","13",48303710,48599436,1,48303710,48380287,48303710,1747,NA,"","protein_coding","protein_coding","ENSP00000785925"
"RB1","ENSG00000139687","ENST00001131432","13",48303710,48599436,1,48303710,48481890,48303710,4809,NA,"","protein_coding","protein_coding","ENSP00000803881"
"KANSL1","ENSG00000275867","ENST00000626557","HSCHR17_1_CTG5",561512,758707,1,561512,615257,561512,667,NA,"tsl4","protein_coding","protein_coding","ENSP00000486338"
"KANSL1","ENSG00000275867","ENST00000628726","HSCHR17_1_CTG5",561512,758707,1,562165,614867,562165,404,NA,"tsl2","protein_coding","protein_coding","ENSP00000486043"
"KANSL1","ENSG00000275867","ENST00000627698","HSCHR17_1_CTG5",561512,758707,1,563071,758707,563071,5110,NA,"tsl5","protein_coding","protein_coding","ENSP00000485807"
"KANSL1","ENSG00000275867","ENST00000629079","HSCHR17_1_CTG5",561512,758707,1,593087,615207,593087,586,NA,"tsl4","protein_coding","protein_coding","ENSP00000487137"
"KANSL1","ENSG00000275867","ENST00000629551","HSCHR17_1_CTG5",561512,758707,1,594073,758667,594073,5016,NA,"tsl1","protein_coding","protein_coding","ENSP00000486326"
"KANSL1","ENSG00000275867","ENST00000626533","HSCHR17_1_CTG5",561512,758707,1,594179,758667,594179,5314,1,"tsl1","protein_coding","protein_coding","ENSP00000486009"
"KANSL1","ENSG00000275867","ENST00000630200","HSCHR17_1_CTG5",561512,758707,1,614807,758698,614807,4716,NA,"tsl5","protein_coding","protein_coding","ENSP00000485811"
"KANSL1","ENSG00000275867","ENST00000625473","HSCHR17_1_CTG5",561512,758707,1,615865,634092,615865,328,NA,"tsl3","protein_coding","protein_coding_CDS_not_defined",""
"KANSL1","ENSG00000275867","ENST00000630234","HSCHR17_1_CTG5",561512,758707,1,616044,738275,616044,1013,NA,"tsl3","protein_coding","retained_intron",""
"KANSL1","ENSG00000275867","ENST00000626891","HSCHR17_1_CTG5",561512,758707,1,742472,758707,742472,9123,NA,"tsl1","protein_coding","retained_intron",""
"KANSL1","ENSG00000275867","ENST00000628965","HSCHR17_1_CTG5",561512,758707,1,748551,758705,748551,2853,NA,"tsl2","protein_coding","retained_intron",""
"KANSL1","ENSG00000275867","ENST00000629430","HSCHR17_1_CTG5",561512,758707,1,749066,749957,749066,552,NA,"tsl2","protein_coding","retained_intron",""
"KANSL1","ENSG00000275867","ENST00000627974","HSCHR17_1_CTG5",561512,758707,1,749342,750593,749342,912,NA,"tsl2","protein_coding","retained_intron",""
"KANSL1","ENSG00000275867","ENST00000631355","HSCHR17_1_CTG5",561512,758707,1,749899,755519,749899,457,NA,"tsl2","protein_coding","retained_intron",""
"KANSL1","ENSG00000275867","ENST00000625290","HSCHR17_1_CTG5",561512,758707,1,755106,756453,755106,358,NA,"tsl3","protein_coding","retained_intron",""
"KANSL1","ENSG00000275867","ENST00000629700","HSCHR17_1_CTG5",561512,758707,1,756052,757551,756052,1500,NA,"tslNA","protein_coding","retained_intron",""
"KANSL1","ENSG00000275867","ENST00000611596","HSCHR17_1_CTG5",561512,758707,1,614750,758468,614750,4735,NA,"tsl1","protein_coding","protein_coding","ENSP00000479863"
"NBEA","ENSG00000172915","ENST00000692464","13",34942270,35673022,1,34942270,35044100,34942270,4013,NA,"","protein_coding","protein_coding","ENSP00000510083"
"NBEA","ENSG00000172915","ENST00000692628","13",34942270,35673022,1,34942270,35058863,34942270,1344,NA,"","protein_coding","nonsense_mediated_decay","ENSP00000509105"
"NBEA","ENSG00000172915","ENST00000686972","13",34942270,35673022,1,34942270,35070852,34942270,1409,NA,"","protein_coding","nonsense_mediated_decay","ENSP00000509765"
"NBEA","ENSG00000172915","ENST00000691351","13",34942270,35673022,1,34942270,35164509,34942270,4517,NA,"","protein_coding","protein_coding","ENSP00000509284"
"NBEA","ENSG00000172915","ENST00000686320","13",34942270,35673022,1,34942270,35672737,34942270,5360,NA,"","protein_coding","protein_coding","ENSP00000508724"
"NBEA","ENSG00000172915","ENST00000379939","13",34942270,35673022,1,34942270,35672736,34942270,11200,1,"tsl5 (assigned to previous version 6)","protein_coding","protein_coding","ENSP00000369271"
"NBEA","ENSG00000172915","ENST00000400445","13",34942270,35673022,1,34942270,35672737,34942270,11138,NA,"tsl5 (assigned to previous version 7)","protein_coding","protein_coding","ENSP00000383295"
"NBEA","ENSG00000172915","ENST00000685717","13",34942270,35673022,1,34943961,35070739,34943961,1395,NA,"","protein_coding","protein_coding_CDS_not_defined",""
"NBEA","ENSG00000172915","ENST00000685025","13",34942270,35673022,1,35044642,35159052,35044642,2597,NA,"","protein_coding","retained_intron",""
"NBEA","ENSG00000172915","ENST00000692196","13",34942270,35673022,1,35048656,35051664,35048656,1425,NA,"","protein_coding","retained_intron",""
"NBEA","ENSG00000172915","ENST00000497540","13",34942270,35673022,1,35055424,35071011,35055424,1344,NA,"tsl2 (assigned to previous version 1)","protein_coding","retained_intron",""
"NBEA","ENSG00000172915","ENST00000686647","13",34942270,35673022,1,35056010,35109442,35056010,967,NA,"","protein_coding","nonsense_mediated_decay","ENSP00000508538"
"NBEA","ENSG00000172915","ENST00000693034","13",34942270,35673022,1,35069946,35123912,35069946,1397,NA,"","protein_coding","retained_intron",""
"NBEA","ENSG00000172915","ENST00000691196","13",34942270,35673022,1,35098297,35208836,35098297,3947,NA,"","protein_coding","protein_coding","ENSP00000510404"
"NBEA","ENSG00000172915","ENST00000687732","13",34942270,35673022,1,35099222,35160032,35099222,2285,NA,"","protein_coding","protein_coding_CDS_not_defined",""
"NBEA","ENSG00000172915","ENST00000690712","13",34942270,35673022,1,35118377,35196302,35118377,3125,NA,"","protein_coding","protein_coding","ENSP00000510796"
"NBEA","ENSG00000172915","ENST00000688363","13",34942270,35673022,1,35118377,35672721,35118377,8327,NA,"","protein_coding","protein_coding","ENSP00000510178"
"NBEA","ENSG00000172915","ENST00000688626","13",34942270,35673022,1,35118377,35672733,35118377,8429,NA,"","protein_coding","protein_coding","ENSP00000509239"
"NBEA","ENSG00000172915","ENST00000689207","13",34942270,35673022,1,35159882,35629863,35159882,4446,NA,"","protein_coding","protein_coding_CDS_not_defined",""
"NBEA","ENSG00000172915","ENST00000686386","13",34942270,35673022,1,35166774,35671374,35166774,5142,NA,"","protein_coding","protein_coding_CDS_not_defined",""
"NBEA","ENSG00000172915","ENST00000629018","13",34942270,35673022,1,35171272,35672486,35171272,5980,NA,"tsl5 (assigned to previous version 2)","protein_coding","protein_coding","ENSP00000486239"
"NBEA","ENSG00000172915","ENST00000687868","13",34942270,35673022,1,35171441,35323559,35171441,2017,NA,"","protein_coding","protein_coding_CDS_not_defined",""
"NBEA","ENSG00000172915","ENST00000692737","13",34942270,35673022,1,35195991,35585118,35195991,3202,NA,"","protein_coding","retained_intron",""
"NBEA","ENSG00000172915","ENST00000691097","13",34942270,35673022,1,35196227,35629907,35196227,3079,NA,"","protein_coding","protein_coding_CDS_not_defined",""
"NBEA","ENSG00000172915","ENST00000692238","13",34942270,35673022,1,35208718,35291572,35208718,554,NA,"","protein_coding","protein_coding_CDS_not_defined",""
"NBEA","ENSG00000172915","ENST00000689818","13",34942270,35673022,1,35209779,35295049,35209779,6190,NA,"","protein_coding","retained_intron",""
"NBEA","ENSG00000172915","ENST00000688312","13",34942270,35673022,1,35309215,35672579,35309215,4701,NA,"","protein_coding","protein_coding_CDS_not_defined",""
"NBEA","ENSG00000172915","ENST00000691637","13",34942270,35673022,1,35349123,35453799,35349123,2094,NA,"","protein_coding","retained_intron",""
"NBEA","ENSG00000172915","ENST00000685686","13",34942270,35673022,1,35470796,35672737,35470796,4904,NA,"","protein_coding","protein_coding","ENSP00000509879"
"NBEA","ENSG00000172915","ENST00000693262","13",34942270,35673022,1,35471216,35672737,35471216,4606,NA,"","protein_coding","protein_coding","ENSP00000509811"
"NBEA","ENSG00000172915","ENST00000685163","13",34942270,35673022,1,35471290,35630332,35471290,2448,NA,"","protein_coding","protein_coding_CDS_not_defined",""
"NBEA","ENSG00000172915","ENST00000691561","13",34942270,35673022,1,35471395,35672737,35471395,4290,NA,"","protein_coding","protein_coding","ENSP00000510517"
"NBEA","ENSG00000172915","ENST00000688422","13",34942270,35673022,1,35471510,35584038,35471510,905,NA,"","protein_coding","protein_coding","ENSP00000509488"
"NBEA","ENSG00000172915","ENST00000689454","13",34942270,35673022,1,35471846,35672737,35471846,4399,NA,"","protein_coding","protein_coding","ENSP00000509389"
"NBEA","ENSG00000172915","ENST00000688335","13",34942270,35673022,1,35471996,35672737,35471996,4234,NA,"","protein_coding","protein_coding","ENSP00000509646"
"NBEA","ENSG00000172915","ENST00000686741","13",34942270,35673022,1,35472079,35672737,35472079,4285,NA,"","protein_coding","protein_coding","ENSP00000510596"
"NBEA","ENSG00000172915","ENST00000689568","13",34942270,35673022,1,35472150,35475352,35472150,615,NA,"","protein_coding","protein_coding_CDS_not_defined",""
"NBEA","ENSG00000172915","ENST00000686952","13",34942270,35673022,1,35472375,35672737,35472375,4164,NA,"","protein_coding","protein_coding","ENSP00000509331"
"NBEA","ENSG00000172915","ENST00000685329","13",34942270,35673022,1,35475622,35672737,35475622,4395,NA,"","protein_coding","protein_coding","ENSP00000509799"
"NBEA","ENSG00000172915","ENST00000537702","13",34942270,35673022,1,35476675,35672737,35476675,4165,NA,"tsl2 (assigned to previous version 5)","protein_coding","protein_coding","ENSP00000440233"
"NBEA","ENSG00000172915","ENST00000687587","13",34942270,35673022,1,35476798,35629961,35476798,1878,NA,"","protein_coding","protein_coding_CDS_not_defined",""
"NBEA","ENSG00000172915","ENST00000685991","13",34942270,35673022,1,35476809,35607496,35476809,1396,NA,"","protein_coding","protein_coding","ENSP00000510804"
"NBEA","ENSG00000172915","ENST00000690976","13",34942270,35673022,1,35476809,35672737,35476809,3940,NA,"","protein_coding","protein_coding","ENSP00000510740"
"NBEA","ENSG00000172915","ENST00000693735","13",34942270,35673022,1,35476809,35672737,35476809,3658,NA,"","protein_coding","protein_coding","ENSP00000508505"
"NBEA","ENSG00000172915","ENST00000685987","13",34942270,35673022,1,35476809,35672737,35476809,4108,NA,"","protein_coding","protein_coding","ENSP00000508957"
"NBEA","ENSG00000172915","ENST00000687287","13",34942270,35673022,1,35476848,35672737,35476848,4170,NA,"","protein_coding","protein_coding","ENSP00000510538"
"NBEA","ENSG00000172915","ENST00000693547","13",34942270,35673022,1,35550477,35672690,35550477,4285,NA,"","protein_coding","nonsense_mediated_decay","ENSP00000508942"
"NBEA","ENSG00000172915","ENST00000693205","13",34942270,35673022,1,35589339,35672231,35589339,6894,NA,"","protein_coding","retained_intron",""
"NBEA","ENSG00000172915","ENST00000686669","13",34942270,35673022,1,35591799,35629887,35591799,3609,NA,"","protein_coding","retained_intron",""
"NBEA","ENSG00000172915","ENST00000687952","13",34942270,35673022,1,35592953,35671947,35592953,2981,NA,"","protein_coding","retained_intron",""
"NBEA","ENSG00000172915","ENST00000379922","13",34942270,35673022,1,35593006,35672732,35593006,3791,NA,"tsl1 (assigned to previous version 3)","protein_coding","retained_intron",""
"NBEA","ENSG00000172915","ENST00000690972","13",34942270,35673022,1,35617413,35672431,35617413,3298,NA,"","protein_coding","protein_coding_CDS_not_defined",""
"NBEA","ENSG00000172915","ENST00000689079","13",34942270,35673022,1,35646003,35649864,35646003,556,NA,"","protein_coding","retained_intron",""
"NBEA","ENSG00000172915","ENST00000693712","13",34942270,35673022,1,35646224,35655000,35646224,536,NA,"","protein_coding","retained_intron",""
"NBEA","ENSG00000172915","ENST00000692578","13",34942270,35673022,1,35646259,35672492,35646259,2806,NA,"","protein_coding","nonsense_mediated_decay","ENSP00000509667"
"NBEA","ENSG00000172915","ENST00000461581","13",34942270,35673022,1,35665085,35673022,35665085,1010,NA,"tsl2 (assigned to previous version 1)","protein_coding","nonsense_mediated_decay","ENSP00000510747"
"NBEA","ENSG00000172915","ENST00000688053","13",34942270,35673022,1,35666447,35672641,35666447,3017,NA,"","protein_coding","retained_intron",""
