Type,"Gene Symbol /Region Name",GRCh37,"HI Score","TS Score",OMIMMorbid,%HI,pLI,LOEUF,"LastEvaluated Date"
Gene,ALADHGNC:395,9:116148592-116163564,AutosomalRecessive,,"OMIM Morbid",32.28,0.1,0.63,08/22/2016
Gene,ALDH1A3HGNC:409,15:101420036-101456831,AutosomalRecessive,NoEvidence,"OMIM Morbid",34.78,0,0.67,08/22/2016
Gene,ALDH3A2HGNC:403,17:19551449-19580909,AutosomalRecessive,,"OMIM Morbid",53.41,0,0.97,08/22/2016
Gene,ALDH4A1HGNC:406,1:19197924-19229049,AutosomalRecessive,NoEvidence,"OMIM Morbid",47.22,0,0.9,04/09/2015
Gene,ALDH5A1HGNC:408,6:24495197-24537435,AutosomalRecessive,NoEvidence,"OMIM Morbid",66.91,0,0.85,08/22/2016
Gene,ALDOAHGNC:414,16:30075600-30081741,AutosomalRecessive,,"OMIM Morbid",11.28,0,0.82,08/22/2016
Gene,ALG1HGNC:18294,16:5121844-5137380,AutosomalRecessive,,"OMIM Morbid",67.9,0,1.42,08/22/2016
Gene,ALG12HGNC:19358,22:50293877-50312086,AutosomalRecessive,NoEvidence,"OMIM Morbid",85.41,0,0.97,08/22/2016
Gene,ALG13HGNC:30881,X:110924398-111003877,LittleEvidence,NoEvidence,"OMIM Morbid",43.52,1,0.16,04/23/2025
Gene,ALG2HGNC:23159,9:101978707-101984224,AutosomalRecessive,,"OMIM Morbid",54.65,0,1.41,08/22/2016
Gene,ALG6HGNC:23157,1:63833298-63904224,AutosomalRecessive,,"OMIM Morbid",35.38,0,0.89,08/22/2016
Gene,ALKHGNC:427,2:29415640-30144452,NoEvidence,NoEvidence,"OMIM Morbid",4.47,0,0.56,06/23/2025
Gene,ALMS1HGNC:428,2:73612886-73837046,AutosomalRecessive,NoEvidence,"OMIM Morbid",78.65,0,0.83,08/22/2016
Gene,ALS2HGNC:443,2:202564990-202645656,AutosomalRecessive,NoEvidence,"OMIM Morbid",15.08,0,0.65,08/22/2016
Gene,ALX4HGNC:450,11:44281990-44331689,SufficientEvidence,NoEvidence,"OMIM Morbid",8.75,0,0.9,07/22/2020
Gene,AMHHGNC:464,19:2249322-2252072,AutosomalRecessive,,"OMIM Morbid",59.26,0,1.95,08/22/2016
Gene,AMNHGNC:14604,14:103389000-103397179,AutosomalRecessive,NoEvidence,"OMIM Morbid",83.83,0,1.45,08/22/2016
Gene,ANGPTL3HGNC:491,1:63063191-63071984,AutosomalRecessive,,"OMIM Morbid",48.8,0,1.21,08/22/2016
Gene,ANK2HGNC:493,4:113626778-114304892,SufficientEvidence,NoEvidence,"OMIM Morbid",24.11,1,0.27,01/14/2025
Gene,ANKHHGNC:15492,5:14704909-14871887,NoEvidence,NoEvidence,"OMIM Morbid",40.3,1,0.46,02/23/2022
Gene,ANKRD11HGNC:21316,16:89334038-89556969,SufficientEvidence,NoEvidence,"OMIM Morbid",75.55,1,0.13,06/14/2022
Gene,ANKRD17HGNC:23575,4:73939093-74124515,SufficientEvidence,NoEvidence,"OMIM Morbid",12.36,1,0.12,04/11/2023
Gene,ANKRD26HGNC:29186,10:27293045-27389423,NoEvidence,NoEvidence,"OMIM Morbid",88.32,0,0.73,10/10/2023
Gene,ANKS6HGNC:26724,9:101494291-101558837,AutosomalRecessive,,"OMIM Morbid",50.29,0,0.87,08/22/2016
Gene,ANOS1HGNC:6211,X:8496915-8700178,SufficientEvidence,NoEvidence,"OMIM Morbid",60.51,1,0.25,05/26/2021
Gene,ANTXR2HGNC:21732,4:80822300-80994626,AutosomalRecessive,NoEvidence,"OMIM Morbid",4.33,0,0.98,08/22/2016
Gene,AP1S2HGNC:560,X:15843929-15872936,SufficientEvidence,NoEvidence,"OMIM Morbid",10.13,0.87,0.45,04/28/2021
Gene,AP4B1HGNC:572,1:114436816-114447650,AutosomalRecessive,NoEvidence,"OMIM Morbid",41.21,0,0.78,08/22/2016
Gene,AP4S1HGNC:575,14:31494312-31565656,AutosomalRecessive,NoEvidence,"OMIM Morbid",19.1,0,1.68,08/22/2016
Gene,APCHGNC:583,5:112043195-112181936,SufficientEvidence,NoEvidence,"OMIM Morbid",2.19,1,0.32,07/19/2021
Gene,APOBHGNC:603,2:21224301-21266945,SufficientEvidence,NoEvidence,"OMIM Morbid",12.78,0,0.54,04/09/2020
Gene,APOC2HGNC:609,19:45449308-45452822,AutosomalRecessive,,"OMIM Morbid",88.9,0.07,1.06,08/22/2016
Gene,APPHGNC:620,21:27252861-27543446,NoEvidence,LittleEvidence,"OMIM Morbid",0.94,1,0.41,10/27/2025
Gene,ARHGNC:644,X:66763863-66950461,SufficientEvidence,NoEvidence,"OMIM Morbid",0.35,0.99,0.29,12/08/2020
Gene,ARCN1HGNC:649,11:118443124-118473748,SufficientEvidence,NoEvidence,"OMIM Morbid",9.21,1,0.15,05/10/2022
Gene,ARFGEF2HGNC:15853,20:47538248-47653230,AutosomalRecessive,NoEvidence,"OMIM Morbid",27.35,1,0.39,08/22/2016
Gene,ARG1HGNC:663,6:131894366-131905469,AutosomalRecessive,NoEvidence,"OMIM Morbid",33.51,0,0.83,08/22/2016
Gene,ARHGAP11BHGNC:15782,15:30918331-30941432,NoEvidence,NoEvidence,OMIM,81.2,0.01,0.84,03/28/2023
Gene,ARHGAP31HGNC:29216,3:119013230-119139561,NoEvidence,NoEvidence,"OMIM Morbid",37.14,1,0.38,06/13/2023
Gene,ARHGEF4HGNC:684,2:131594487-131804826,NoEvidence,NoEvidence,OMIM,65.32,0,0.89,04/05/2018
Gene,ARHGEF6HGNC:685,X:135747709-135863091,NoEvidence,NoEvidence,OMIM,14.42,1,0.14,04/25/2012
Gene,ARHGEF9HGNC:14561,X:62854847-63005094,SufficientEvidence,NoEvidence,"OMIM Morbid",10.55,1,0.15,11/25/2021
Gene,ARID1AHGNC:11110,1:27022506-27108595,SufficientEvidence,NoEvidence,"OMIM Morbid",9.63,1,0.14,05/27/2020
Gene,ARID1BHGNC:18040,6:157097160-157531913,SufficientEvidence,NoEvidence,"OMIM Morbid",14.17,1,0.21,05/26/2021
Gene,ARID2HGNC:18037,12:46123489-46301820,SufficientEvidence,NoEvidence,"OMIM Morbid",11.02,1,0.23,06/26/2019
Gene,ARL6HGNC:13210,3:97483365-97520086,AutosomalRecessive,NoEvidence,"OMIM Morbid",10.16,0.01,0.96,08/22/2016
Gene,ARL6IP1HGNC:697,16:18802989-18812871,AutosomalRecessive,,"OMIM Morbid",17.4,0.51,0.68,08/22/2016
Gene,ARSAHGNC:713,22:51061182-51066580,AutosomalRecessive,NoEvidence,"OMIM Morbid",63.58,0,1.17,09/05/2012
Gene,ARSDHGNC:717,X:2822013-2847380,NoEvidence,NoEvidence,OMIM,92.29,0,0.86,07/21/2016
Gene,ARSLHGNC:719,X:2852562-2886286,SufficientEvidence,NoEvidence,"OMIM Morbid",89.33,0.59,0.49,07/12/2012
Gene,ARXHGNC:18060,X:25021811-25034082,SufficientEvidence,NoEvidence,"OMIM Morbid",20.25,0.91,0.39,12/05/2019
Gene,ASAH1HGNC:735,8:17913501-17942470,AutosomalRecessive,NoEvidence,"OMIM Morbid",65.81,0,1.44,09/12/2017
Gene,ASH1LHGNC:19088,1:155305059-155532594,SufficientEvidence,NoEvidence,"OMIM Morbid",23.94,1,0.1,12/27/2017
Gene,ASLHGNC:746,7:65540806-65558563,AutosomalRecessive,,"OMIM Morbid",18.56,0,0.94,08/22/2016
Gene,ASPAHGNC:756,17:3377404-3406699,AutosomalRecessive,NoEvidence,"OMIM Morbid",37.65,0,1.1,08/22/2016
Gene,ASPHHGNC:757,8:62413115-62627151,AutosomalRecessive,,"OMIM Morbid",46.75,0,1.01,08/22/2016
Gene,ASPMHGNC:19048,1:197053257-197115799,AutosomalRecessive,NoEvidence,"OMIM Morbid",41.31,0,0.77,08/22/2016
Gene,ASTN2HGNC:17021,9:119185391-120177335,LittleEvidence,NoEvidence,OMIM,2.19,0.99,0.47,03/09/2021
Gene,ASXL1HGNC:18318,20:30946134-31027122,SufficientEvidence,NoEvidence,"OMIM Morbid",20.78,0,0.92,03/14/2013
Gene,ASXL2HGNC:23805,2:25956622-26101356,NoEvidence,NoEvidence,"OMIM Morbid",43.83,1,0.24,06/28/2018
Gene,ASXL3HGNC:29357,18:31158183-31331159,SufficientEvidence,NoEvidence,"OMIM Morbid",13.78,1,0.23,11/22/2017
Gene,ATCAYHGNC:779,19:3880683-3928080,AutosomalRecessive,,"OMIM Morbid",64.83,0,0.73,08/22/2016
Gene,ATF6HGNC:791,1:161736110-161933860,AutosomalRecessive,NoEvidence,"OMIM Morbid",26.14,0,0.88,01/12/2017
Gene,ATMHGNC:795,11:108093794-108239829,SufficientEvidence,NoEvidence,"OMIM Morbid",0.97,0,0.85,04/08/2020
Gene,ATP10AHGNC:13542,15:25923859-26108349,NoEvidence,NoEvidence,OMIM,68.57,0,0.88,04/25/2012
Gene,ATP13A2HGNC:30213,1:17312453-17338423,AutosomalRecessive,,"OMIM Morbid",35.38,0,0.71,08/22/2016
Gene,ATP2A1HGNC:811,16:28889809-28915787,AutosomalRecessive,NoEvidence,"OMIM Morbid",24.7,0,0.88,08/22/2016
Gene,ATP2C2HGNC:29103,16:84402144-84497793,NoEvidence,NoEvidence,OMIM,70.21,0,1.71,09/17/2018
Gene,ATP6AP2HGNC:18305,X:40440222-40466100,NoEvidence,NoEvidence,"OMIM Morbid",35.15,0.87,0.43,10/31/2012
Gene,ATP6V0A2HGNC:18481,12:124196900-124246302,AutosomalRecessive,NoEvidence,"OMIM Morbid",46.77,0,0.6,08/22/2016
Gene,ATP6V0A4HGNC:866,7:138391039-138482941,AutosomalRecessive,,"OMIM Morbid",54.41,0,0.92,08/22/2016
Gene,ATP6V1E1HGNC:857,22:18074902-18111588,NoEvidence,NoEvidence,"OMIM Morbid",39.36,0,0.85,04/26/2012
Gene,ATP7AHGNC:869,X:77166190-77305892,SufficientEvidence,NoEvidence,"OMIM Morbid",30.07,1,0.22,03/24/2021
Gene,ATP7BHGNC:870,13:52506805-52585586,AutosomalRecessive,NoEvidence,"OMIM Morbid",64.5,0,1.06,01/12/2017
Gene,ATP8A2HGNC:13533,13:25946112-26599989,AutosomalRecessive,NoEvidence,"OMIM Morbid",24.95,0,0.73,03/28/2023
Gene,ATPAF2HGNC:18802,17:17921335-17942482,AutosomalRecessive,NoEvidence,"OMIM Morbid",45.43,0,1.1,08/22/2016
Gene,ATRHGNC:882,3:142168077-142297575,LittleEvidence,NoEvidence,"OMIM Morbid",8.61,0,0.52,06/05/2020
Gene,ATRXHGNC:886,X:76760358-77041702,SufficientEvidence,NoEvidence,"OMIM Morbid",6.65,1,0.12,07/31/2012
Gene,AUTS2HGNC:14262,7:69063461-70258492,SufficientEvidence,NoEvidence,"OMIM Morbid",0.51,1,0.23,06/24/2020
Gene,AVPR2HGNC:897,X:153168079-153172620,SufficientEvidence,NoEvidence,"OMIM Morbid",12.7,0.56,0.72,02/01/2021
Gene,AXIN2HGNC:904,17:63524681-63557766,SufficientEvidence,NoEvidence,"OMIM Morbid",4.92,1,0.4,12/08/2021
Gene,B3GALNT2HGNC:28596,1:235610505-235667752,AutosomalRecessive,,"OMIM Morbid",60.43,0,1.04,08/22/2016
Gene,B3GALT6HGNC:17978,1:1167617-1170421,AutosomalRecessive,NoEvidence,"OMIM Morbid",73.2,0,1.99,08/22/2016
Gene,B4GALT1HGNC:924,9:33104075-33167334,AutosomalRecessive,NoEvidence,"OMIM Morbid",58.79,0.02,0.74,08/22/2016
Gene,B4GALT7HGNC:930,5:177027133-177037331,AutosomalRecessive,NoEvidence,"OMIM Morbid",41.46,0,1.23,08/22/2016
Gene,B9D1HGNC:24123,17:19238008-19281226,AutosomalRecessive,NoEvidence,"OMIM Morbid",54.99,0,1.02,08/22/2016
Gene,BAG3HGNC:939,10:121410892-121437331,SufficientEvidence,NoEvidence,"OMIM Morbid",55.47,0.92,0.54,02/12/2015
Gene,BAP1HGNC:950,3:52435024-52444024,SufficientEvidence,NoEvidence,"OMIM Morbid",18.49,1,0.33,01/30/2025
Gene,BARD1HGNC:952,2:215590370-215674407,SufficientEvidence,NoEvidence,"OMIM Morbid",33.35,0,1.09,05/01/2020
Gene,BBS12HGNC:26648,4:123653859-123666094,AutosomalRecessive,NoEvidence,"OMIM Morbid",80.48,0,1.42,08/22/2016
Gene,BBS5HGNC:970,2:170336004-170363165,AutosomalRecessive,NoEvidence,"OMIM Morbid",9.97,0,0.89,10/12/2015
Gene,BBS7HGNC:18758,4:122745484-122791629,AutosomalRecessive,,"OMIM Morbid",20.8,0,0.7,08/22/2016
Gene,BCAP31HGNC:16695,X:152965947-152989842,SufficientEvidence,NoEvidence,"OMIM Morbid",31.87,0.43,0.65,08/08/2023
Gene,BCHEHGNC:983,3:165490692-165555211,AutosomalRecessive,,"OMIM Morbid",14.36,0,1.2,08/22/2016
Gene,BCKDHBHGNC:987,6:80816327-81055987,AutosomalRecessive,,"OMIM Morbid",21.83,0,1.21,08/22/2016
Gene,BCKDKHGNC:16902,16:31119707-31124159,AutosomalRecessive,,"OMIM Morbid",35.16,0,0.86,08/22/2016
Gene,BCL11AHGNC:13221,2:60677655-60780789,SufficientEvidence,NoEvidence,"OMIM Morbid",0.61,1,0.13,04/13/2017
Gene,BCL2L11HGNC:994,2:111878491-111926022,NoEvidence,NoEvidence,OMIM,38.11,0,1.23,06/21/2018
Gene,BCLAF1HGNC:16863,6:136577765-136610984,LittleEvidence,NoEvidence,OMIM,4.44,1,0.21,06/28/2018
Gene,BCORHGNC:20893,X:39910499-40036582,SufficientEvidence,NoEvidence,"OMIM Morbid",16.71,1,0.14,10/04/2012
Gene,BCRHGNC:1014,22:23522696-23660224,NoEvidence,NoEvidence,"OMIM Morbid",5.65,0,0.61,07/10/2012
Gene,BCS1LHGNC:1020,2:219524406-219528166,AutosomalRecessive,NoEvidence,"OMIM Morbid",13.17,0,0.96,08/22/2016
Gene,BIN1HGNC:1052,2:127805599-127864730,AutosomalRecessive,,"OMIM Morbid",41.75,0,0.82,08/22/2016
Gene,BLMHGNC:1058,15:91260577-91359396,AutosomalRecessive,NoEvidence,"OMIM Morbid",37.81,0,0.85,02/09/2022
Gene,BLNKHGNC:14211,10:97948927-98031326,AutosomalRecessive,NoEvidence,"OMIM Morbid",35.7,0.9,0.52,08/22/2016
Gene,BMP4HGNC:1071,14:54416454-54423609,SufficientEvidence,NoEvidence,"OMIM Morbid",0.22,1,0.26,04/23/2025
Gene,BMPERHGNC:24154,7:33944527-34196039,AutosomalRecessive,,"OMIM Morbid",15,0,0.65,08/22/2016
Gene,BMPR1AHGNC:1076,10:88516376-88687726,SufficientEvidence,NoEvidence,"OMIM Morbid",30.17,1,0.2,06/24/2020
Gene,BMPR2HGNC:1078,2:203241050-203432472,SufficientEvidence,NoEvidence,"OMIM Morbid",1.48,1,0.38,08/26/2020
Gene,BPHLHGNC:1094,6:3118610-3153812,SensitivityUnlikely,NoEvidence,OMIM,69.92,0,1.26,02/02/2021
Gene,BPNT2HGNC:26019,8:57870490-57906426,AutosomalRecessive,,"OMIM Morbid",43.21,0.79,0.62,08/22/2016
Gene,BPTFHGNC:3581,17:65821619-65980494,SufficientEvidence,NoEvidence,"OMIM Morbid",36.79,1,0.09,07/12/2022
Gene,BPY2HGNC:13508,Y:25130410-25151612,NoEvidence,NoEvidence,OMIM,94.47,‐,‐,08/22/2012
Gene,BRAFHGNC:1097,7:140413128-140624729,NoEvidence,NoEvidence,"OMIM Morbid",8.98,1,0.24,09/24/2025
Gene,BRAT1HGNC:21701,7:2577444-2595158,AutosomalRecessive,NoEvidence,"OMIM Morbid",81.22,0,1.39,08/22/2016
Gene,BRCA1HGNC:1100,17:41196312-41277381,SufficientEvidence,NoEvidence,"OMIM Morbid",1.2,0,0.89,09/23/2021
Gene,BRCA2HGNC:1101,13:32889645-32974405,SufficientEvidence,NoEvidence,"OMIM Morbid",13.3,0,0.8,07/14/2021
Gene,BRIP1HGNC:20473,17:59756500-59940889,SufficientEvidence,NoEvidence,"OMIM Morbid",17.47,0,0.85,10/09/2025
Gene,BRPF1HGNC:14255,3:9773419-9789699,SufficientEvidence,NoEvidence,"OMIM Morbid",15.78,1,0.21,08/23/2023
Gene,BRWD3HGNC:17342,X:79925002-80065376,SufficientEvidence,NoEvidence,"OMIM Morbid",28.63,1,0.08,08/24/2022
Gene,BSNDHGNC:16512,1:55464606-55482845,AutosomalRecessive,NoEvidence,"OMIM Morbid",78.77,0,1.03,05/17/2012
Gene,BTDHGNC:1122,3:15642859-15764023,AutosomalRecessive,NoEvidence,"OMIM Morbid",76.15,0,1.22,05/21/2015
Gene,BTKHGNC:1133,X:100604438-100645784,SufficientEvidence,NoEvidence,"OMIM Morbid",4.3,1,0.1,03/24/2021
Gene,BUB1BHGNC:1149,15:40453270-40513324,AutosomalRecessive,NoEvidence,"OMIM Morbid",14.21,0,0.71,02/02/2022
Gene,C19orf12HGNC:25443,19:30189793-30206696,AutosomalRecessive,NoEvidence,"OMIM Morbid",77.08,0.91,0.57,08/22/2016
Gene,C1QBHGNC:1242,1:22979729-22988130,AutosomalRecessive,NoEvidence,"OMIM Morbid",69.46,0.25,1,01/17/2017
Gene,CA12HGNC:1371,15:63613577-63674045,AutosomalRecessive,,"OMIM Morbid",56.48,0,0.97,08/22/2016
Gene,CA5AHGNC:1377,16:87915155-87970135,AutosomalRecessive,NoEvidence,"OMIM Morbid",88.4,0,1.26,08/22/2016
Gene,CA8HGNC:1382,8:61097971-61193959,AutosomalRecessive,NoEvidence,"OMIM Morbid",10.02,0.23,0.7,08/22/2016
Gene,CABP2HGNC:1385,11:67286383-67290917,AutosomalRecessive,NoEvidence,"OMIM Morbid",58.19,0,1.3,08/20/2021
Gene,CABP4HGNC:1386,11:67219874-67229223,AutosomalRecessive,NoEvidence,"OMIM Morbid",71.95,0,1.35,08/22/2016
Gene,CACNA1AHGNC:1388,19:13317256-13617293,SufficientEvidence,NoEvidence,"OMIM Morbid",35.52,1,0.33,05/21/2017
Gene,CACNA1CHGNC:1390,12:2162153-2807116,LittleEvidence,NoEvidence,"OMIM Morbid",8.42,1,0.19,03/24/2016
Gene,CACNA1EHGNC:1392,1:181452653-181777219,LittleEvidence,NoEvidence,"OMIM Morbid",13.63,1,0.22,09/10/2024
Gene,CACNA1SHGNC:1397,1:201008640-201081554,NoEvidence,NoEvidence,"OMIM Morbid",25.88,0,0.65,01/18/2016
Gene,CADPS2HGNC:16018,7:121958465-122526514,NoEvidence,NoEvidence,OMIM,4.53,0,0.7,07/10/2012
Gene,CALM1HGNC:1442,14:90862846-90874612,NoEvidence,NoEvidence,"OMIM Morbid",0.15,0.99,0.28,12/12/2023
Gene,CALM2HGNC:1445,2:47387221-47404075,NoEvidence,NoEvidence,"OMIM Morbid",0.13,0.99,0.26,07/09/2024
Gene,CALM3HGNC:1449,19:47104331-47114039,NoEvidence,NoEvidence,"OMIM Morbid",0.27,0.93,0.56,07/09/2024
Gene,CAMK2AHGNC:1460,5:149599054-149669693,LittleEvidence,NoEvidence,"OMIM Morbid",5.97,1,0.19,05/24/2023
Gene,CAMK2BHGNC:1461,7:44256753-44365193,LittleEvidence,NoEvidence,"OMIM Morbid",16.28,1,0.45,01/25/2023
Gene,CAMTA1HGNC:18806,1:6845514-7829766,SufficientEvidence,NoEvidence,"OMIM Morbid",2.22,1,0.23,12/14/2017
Gene,CANT1HGNC:19721,17:76987798-77005846,AutosomalRecessive,,"OMIM Morbid",65.38,0,1.24,08/22/2016
